22,abuela,grandmother
24,abundancia,abundance
33,academia,academy
41,acción,"action, act, deed"
47,aceptación,"acceptance, approval"
49,acera,sidewalk
66,acta,"(el) (meeting) proceedings, minutes"
67,actitud,attitude
69,actividad,"activity, action"
73,actriz,actress
74,actuación,"performance, acting"
76,actualidad,present (time)
77,actualización,"update, modernization"
83,acumulación,accumulation
85,acusación,"accusation, charge"
88,adaptación,adaptation
100,administración,administration
105,admiración,admiration
108,adolescencia,adolescence
111,adopción,adoption
117,adquisición,acquisition
120,advertencia,"warning, notice"
128,afición,"fondness, interest"
131,afirmación,"statement, assertion"
140,agencia,"agency, branch"
141,agenda,"diary, agenda, schedule"
153,agresión,"aggression, attack"
157,agricultura,"agriculture, farming"
158,agrupación,"group, association"
160,agua,(el) water
164,aguja,"needle, spire, stylus"
180,ala,"(el) wing, flank"
182,alarma,alarm
184,alba,"(el) dawn, daybreak"
190,aldea,small village
194,alegría,"joy, happiness"
198,alerta,alert
200,alfombra,"rug, carpet, mat"
206,alianza,alliance
208,alimentación,"feeding, food"
216,alma,(el) soul
219,almohada,pillow
229,alteración,"alteration, change"
232,alternativa,alternative
235,altura,"height, altitude"
238,alusión,"allusion, hint"
247,amargura,"bitterness, sorrow"
251,ambición,ambition
257,amenaza,threat
260,amiga,friend (f)
262,amistad,friendship
269,ampliación,"enlargement, extension"
283,anécdota,anecdote
286,angustia,"anguish, distress"
298,ansia,"(el) anxiety, anguish"
299,ansiedad,anxiety
304,antena,antenna
311,antigüedad,"antiquity, seniority"
323,aparición,"appearance, apparition"
324,apariencia,"appearance, aspect"
332,apertura,"opening, beginning"
337,aplicación,application
341,aportación,"contribution, support"
354,aprobación,"approval, consent"
361,apuesta,"wager, bet"
371,araña,spider
378,área,"(el) area, zone"
379,arena,sand
383,arma,(el) weapon
387,armonía,harmony
392,arquitectura,architecture
405,arruga,wrinkle
411,articulación,"articulation, joint"
419,asamblea,assembly
425,asentamiento,"settlement, colony"
436,asignatura,"subject, course"
439,asistencia,"attendance, assistance"
442,asociación,association
